x,y,z,boundary_left,boundary_right,velocity_long_ref,kappa,yaw_angle,yaw_angle_error,lat_deviation,arc_progress,time,yaw_angle_dot,velocity_lat,acceleration_long,acceleration_lat,force_long_fl,force_long_fr,force_long_rl,force_long_rr,steering_angle,steering_angle_dot
16.6702309,0.432559907,0,0.86,-0.86,3,-0.0515045833,-0.183036887,0,0,16.6939984,0,-0.15451375,0,0,0,0,0,0,0,0,0
16.7686119,0.451033622,0,0.86,-0.86,3,-0.0522300098,-0.188228822,0,0,16.7940994,0,-0.15669003,0,0,0,0,0,0,0,0,0
16.8668957,0.470021427,0,0.86,-0.86,3,-0.0529554368,-0.193493371,0,0,16.8942003,0,-0.15886631,0,0,0,0,0,0,0,0,0
16.9650764,0.489529938,0,0.86,-0.86,3,-0.0536808641,-0.198830535,0,0,16.9943012,0,-0.161042592,0,0,0,0,0,0,0,0,0
17.0631523,0.509565771,0,0.86,-0.86,3,-0.0544062919,-0.204240314,0,0,17.0944021,0,-0.163218876,0,0,0,0,0,0,0,0,0
17.1611176,0.530135393,0,0.86,-0.86,3,-0.0551317201,-0.209722706,0,0,17.194503,0,-0.16539516,0,0,0,0,0,0,0,0,0
17.2589664,0.551245332,0,0.86,-0.86,3,-0.0558571487,-0.215277714,0,0,17.2946039,0,-0.167571446,0,0,0,0,0,0,0,0,0
17.3566971,0.572902083,0,0.86,-0.86,3,-0.0565825778,-0.220905336,0,0,17.3947048,0,-0.169747733,0,0,0,0,0,0,0,0,0
17.4543018,0.595111966,0,0.86,-0.86,3,-0.0573080073,-0.226605572,0,0,17.4948057,0,-0.171924022,0,0,0,0,0,0,0,0,0
17.5517788,0.617881477,0,0.86,-0.86,3,-0.0580334372,-0.232378423,0,0,17.5949066,0,-0.174100312,0,0,0,0,0,0,0,0,0
17.6491222,0.641216815,0,0.86,-0.86,3,-0.0587588677,-0.238223888,0,0,17.6950075,0,-0.176276603,0,0,0,0,0,0,0,0,0
17.7463264,0.665124297,0,0.86,-0.86,3,-0.0594842986,-0.244141967,0,0,17.7951084,0,-0.178452896,0,0,0,0,0,0,0,0,0
17.8433857,0.689610124,0,0.86,-0.86,3,-0.0602097299,-0.250132662,0,0,17.8952093,0,-0.18062919,0,0,0,0,0,0,0,0,0
17.9402962,0.714680493,0,0.86,-0.86,3,-0.0609351617,-0.25619597,0,0,17.9953101,0,-0.182805485,0,0,0,0,0,0,0,0,0
18.0370522,0.740341544,0,0.86,-0.86,3,-0.0616605941,-0.262331893,0,0,18.095411,0,-0.184981782,0,0,0,0,0,0,0,0,0
18.1336479,0.766599238,0,0.86,-0.86,3,-0.0623860269,-0.268540431,0,0,18.1955119,0,-0.187158081,0,0,0,0,0,0,0,0,0
18.2300777,0.793459654,0,0.86,-0.86,3,-0.0631114602,-0.274821583,0,0,18.2956128,0,-0.18933438,0,0,0,0,0,0,0,0,0
18.3263359,0.820928752,0,0.86,-0.86,3,-0.063836894,-0.28117535,0,0,18.3957136,0,-0.191510682,0,0,0,0,0,0,0,0,0
18.4224167,0.849012375,0,0.86,-0.86,3,-0.0645623283,-0.287601731,0,0,18.4958145,0,-0.193686985,0,0,0,0,0,0,0,0,0
18.5183144,0.877716362,0,0.86,-0.86,3,-0.0652877631,-0.294100726,0,0,18.5959153,0,-0.195863289,0,0,0,0,0,0,0,0,0
18.6140213,0.907046378,0,0.86,-0.86,3,-0.0660131984,-0.300672336,0,0,18.6960162,0,-0.198039595,0,0,0,0,0,0,0,0,0
18.7095337,0.937008262,0,0.86,-0.86,3,-0.0667386342,-0.30731656,0,0,18.796117,0,-0.200215903,0,0,0,0,0,0,0,0,0
18.804842,0.967607498,0,0.86,-0.86,3,-0.0674640706,-0.314033399,0,0,18.8962179,0,-0.202392212,0,0,0,0,0,0,0,0,0
